,_id,product_name,product_searched,price,offer_details,discount_percent,EMI,rating,comment,customer_name,review_age
0,630134e808a5da30d52b0cf2,Mi 4C 108 cm (43 inch) Full HD LED Smart Android TV,mi,"₹22,999","['Bank OfferGet additional discount of ₹ 1000 on ICICI bank Credit Card transactionsT&C', 'Bank OfferGet additional INR 1500 off on ICICI bank Credit/Debit Card EMI TransactionsT&C', ""FreebieFree BYJU'S Classes Online Tuitions worth ₹999. Experience the BYJU'S Two Teacher AdvantageT&C"", 'View 9 more offers']",34% off,NO EMI Plans,5,Mind-blowing purchase,chandra sekhar,6 months ago
1,630134ea08a5da30d52b0cf4,Mi 4C 108 cm (43 inch) Full HD LED Smart Android TV,mi,"₹22,999","['Bank OfferGet additional discount of ₹ 1000 on ICICI bank Credit Card transactionsT&C', 'Bank OfferGet additional INR 1500 off on ICICI bank Credit/Debit Card EMI TransactionsT&C', ""FreebieFree BYJU'S Classes Online Tuitions worth ₹999. Experience the BYJU'S Two Teacher AdvantageT&C"", 'View 9 more offers']",34% off,NO EMI Plans,4,Worth the money,Anshu Bhoi,9 months ago
2,630134ec08a5da30d52b0cf6,Mi 4C 108 cm (43 inch) Full HD LED Smart Android TV,mi,"₹22,999","['Bank OfferGet additional discount of ₹ 1000 on ICICI bank Credit Card transactionsT&C', 'Bank OfferGet additional INR 1500 off on ICICI bank Credit/Debit Card EMI TransactionsT&C', ""FreebieFree BYJU'S Classes Online Tuitions worth ₹999. Experience the BYJU'S Two Teacher AdvantageT&C"", 'View 9 more offers']",34% off,NO EMI Plans,5,Wonderful,Malay Ghosh,9 months ago
